Player,Pos.,Caps,Goals,Debut Date,Last Date
Tom Aherne,DF,16,0,1946,1953
John Aldridge,FW,69,19,1986,1996
Paddy Ambrose,FW,5,1,1954,1964
John Anderson,DF,16,1,1979,1988
Keith Andrews,MF,35,3,2008,2012
Paddy Andrews,DF,1,0,1935,1935
Tom Arrigan,DF,1,0,1937,1937
Harry Arter,MF,16,0,2015,2019
Phil Babb,DF,35,0,1994,2002
Eddie Bailham,FW,1,0,1964,1964
Eric Barber,FW,2,0,1965,1966
Graham Barrett,FW,6,2,2002,2004
Paddy Barry,FW,2,0,1928,1929
Jim Beglin,DF,15,0,1984,1986
Alan Bennett,DF,2,0,2007,2007
Jimmy Bermingham,FW,1,0,1929,1929
Paddy Bermingham,DF,1,1,1934,1934
Leon Best,FW,7,0,2009,2010
Packie Bonner,GK,81,0,1981,1996
Andy Boyle,DF,1,0,2017,2017
Synan Braddish,MF,2,0,1978,1978
Paddy Bradshaw,FW,5,4,1938,1939
Frank Brady Sr.,DF,2,0,1926,1927
Liam Brady,MF,72,9,1974,1990
Ray Brady,DF,6,0,1963,1964
Robbie Brady,MF,46,8,2012,2019
Keith Branagan,GK,1,0,1997,1997
Gary Breen,DF,63,6,1996,2006
Tommy Breen,GK,5,0,1937,1947
Fran Brennan,DF,1,0,1965,1965
Shay Brennan,DF,19,0,1965,1970
Jackie Brown,MF,2,1,1937,1937
Alan Browne,DF,9,1,2017,2019
Willie Browne,DF,3,0,1963,1964
Alex Bruce,DF,2,0,2007,2008
Liam Buckley,FW,2,0,1984,1984
Florrie Burke,DF,1,0,1951,1951
Graham Burke,MF,3,1,2018,2018
John Burke,DF,1,0,1929,1929
Tom Burke,DF,1,0,1934,1934
Paul Butler,DF,1,0,2000,2000
Thomas Butler,MF,2,0,2002,2002
David Byrne,FW,3,1,1929,1934
Jack Byrne,MF,1,0,2019,2019
Jack Byrne,DF,1,0,1928,1928
Jason Byrne,FW,2,0,2004,2006
John Byrne,FW,23,4,1985,1993
Paddy Byrne,DF,3,0,1931,1934
Pat Byrne,MF,8,0,1984,1986
Sean Byrne,DF,1,0,1931,1931
Tony Byrne,DF,14,0,1969,1973
Alan Campbell,FW,3,0,1985,1985
Noel Campbell,MF,11,0,1971,1977
Harry Cannon,GK,2,0,1926,1928
Noel Cantwell,DF,36,14,1953,1967
Brian Carey,DF,3,0,1992,1994
Johnny Carey,DF,29,3,1937,1953
Joe Carolan,DF,2,0,1959,1960
Stephen Carr,DF,44,0,1999,2007
Brendan Carroll,FW,2,0,1949,1949
Tommy Carroll,DF,17,1,1968,1973
Lee Carsley,MF,40,0,1997,2008
Tony Cascarino,FW,88,19,1985,1999
Jeff Chandler,MF,2,0,1979,1979
Harry Chatton,DF,3,0,1931,1934
Cyrus Christie,DF,3,1,2014,2015
Ciaran Clark,DF,12,1,2011,2015
Clive Clarke,DF,2,0,2004,2004
Jerome Clarke,FW,1,0,1978,1978
Kevin Clarke,DF,2,0,1948,1948
Mattie Clarke,DF,1,0,1950,1950
Tommy Clinton,DF,3,0,1951,1954
Paddy Coad,MF,11,3,1946,1952
Tim Coffey,MF,1,0,1949,1949
Séamus Coleman,MF,42,1,2011,2015
Martin Colfer,FW,2,0,1950,1951
Nick Colgan,GK,10,0,2002,2007
Frank Collins,GK,1,0,1927,1927
Ollie Conmy,MF,5,0,1965,1969
David Connolly,FW,41,9,1996,2005
Hugh Connolly,FW,1,0,1936,1936
Jimmy Connolly,MF,1,0,1926,1926
Terry Conroy,FW,26,2,1969,1977
Jimmy Conway,MF,20,3,1966,1977
Peter Corr,MF,4,0,1949,1949
Ned Courtney,GK,1,0,1946,1946
Simon Cox,FW,30,4,2011,2014
Owen Coyle,FW,1,0,1994,1994
Tommy Coyne,FW,22,6,1992,1997
Glen Crowe,FW,2,0,2002,2003
George Cummins,MF,19,5,1953,1961
Tim Cuneen,MF,1,0,1951,1951
Greg Cunningham,DF,4,0,2010,2013
Kenny Cunningham,DF,72,0,1996,2005
Dermot Curtis,FW,17,8,1956,1963
Ronan Curtis,FW,1,0,2018,2018
Sean Cusack,DF,1,0,1952,1952
Liam Daish,DF,5,0,1992,1996
Gerry Daly,MF,48,13,1973,1986
Jimmy Daly,DF,2,0,1932,1935
Maurice Daly,DF,2,0,1978,1978
Pat Daly,DF,1,0,1949,1949
Tom Davis,FW,4,4,1936,1938
Eamonn Deacy,DF,4,0,1982,1982
Damien Delaney,DF,5,0,2008,2011
Rory Delap,MF,11,0,1998,2004
Ken DeMange,MF,2,0,1987,1988
John Dempsey,DF,19,1,1966,1974
Miah Dennehy,MF,11,2,1972,1977
Peter Desmond,FW,4,0,1949,1949
John Devine,DF,13,0,1979,1984
Gary Doherty,DF,33,4,2000,2005
Joey Donnelly,FW,10,3,1934,1937
Tommy Donnelly,FW,2,1,1937,1938
Don Donovan,DF,5,0,1954,1957
Terry Donovan,FW,2,0,1979,1981
Jonathan Douglas,MF,8,0,2004,2007
Charlie Dowdall,FW,3,0,1928,1931
Christy Doyle,FW,1,0,1959,1959
Colin Doyle,GK,1,0,2007,2007
Denis Doyle,MF,1,0,1926,1926
Kevin Doyle,FW,61,14,2006,2014
Larry Doyle,DF,1,0,1931,1931
Michael Doyle,MF,1,0,2004,2004
Damien Duff,MF,100,8,1998,2012
Bobby Duffy,FW,1,0,1950,1950
Shane Duffy,DF,1,0,2014,2014
Harry Duggan,MF,5,1,1927,1937
Jimmy Dunne,FW,15,13,1930,1939
Jimmy Dunne,FW,1,0,1971,1971
Leo Dunne,DF,1,0,1935,1935
Pat Dunne,GK,5,0,1965,1966
Richard Dunne,DF,80,8,2000,2013
