"Statistic","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2011","All counties (1)","Both sexes","Euro","676.12"
"Mean Weekly Earnings","2011","All counties (1)","Male","Euro","780.25"
"Mean Weekly Earnings","2011","All counties (1)","Female","Euro","580.39"
"Mean Weekly Earnings","2011","Carlow","Both sexes","Euro","591.24"
"Mean Weekly Earnings","2011","Carlow","Male","Euro","662.19"
"Mean Weekly Earnings","2011","Carlow","Female","Euro","524.99"
"Mean Weekly Earnings","2011","Dublin","Both sexes","Euro","755.18"
"Mean Weekly Earnings","2011","Dublin","Male","Euro","872.75"
"Mean Weekly Earnings","2011","Dublin","Female","Euro","641.89"
"Mean Weekly Earnings","2011","Kildare","Both sexes","Euro","718.49"
"Mean Weekly Earnings","2011","Kildare","Male","Euro","843.4"
"Mean Weekly Earnings","2011","Kildare","Female","Euro","594.86"
"Mean Weekly Earnings","2011","Kilkenny","Both sexes","Euro","633.92"
"Mean Weekly Earnings","2011","Kilkenny","Male","Euro","724.92"
"Mean Weekly Earnings","2011","Kilkenny","Female","Euro","559.9"
"Mean Weekly Earnings","2011","Laois","Both sexes","Euro","637.23"
"Mean Weekly Earnings","2011","Laois","Male","Euro","721.85"
"Mean Weekly Earnings","2011","Laois","Female","Euro","561.78"
"Mean Weekly Earnings","2011","Longford","Both sexes","Euro","585.67"
"Mean Weekly Earnings","2011","Longford","Male","Euro","642.4"
"Mean Weekly Earnings","2011","Longford","Female","Euro","535.91"
"Mean Weekly Earnings","2011","Louth","Both sexes","Euro","624.93"
"Mean Weekly Earnings","2011","Louth","Male","Euro","715.93"
"Mean Weekly Earnings","2011","Louth","Female","Euro","539.66"
"Mean Weekly Earnings","2011","Meath","Both sexes","Euro","698.19"
"Mean Weekly Earnings","2011","Meath","Male","Euro","825.48"
"Mean Weekly Earnings","2011","Meath","Female","Euro","579.92"
"Mean Weekly Earnings","2011","Offaly","Both sexes","Euro","612.52"
"Mean Weekly Earnings","2011","Offaly","Male","Euro","688.37"
"Mean Weekly Earnings","2011","Offaly","Female","Euro","540.19"
"Mean Weekly Earnings","2011","Westmeath","Both sexes","Euro","637.65"
"Mean Weekly Earnings","2011","Westmeath","Male","Euro","720"
"Mean Weekly Earnings","2011","Westmeath","Female","Euro","561.07"
"Mean Weekly Earnings","2011","Wexford","Both sexes","Euro","575.88"
"Mean Weekly Earnings","2011","Wexford","Male","Euro","657.49"
"Mean Weekly Earnings","2011","Wexford","Female","Euro","506.59"
"Mean Weekly Earnings","2011","Wicklow","Both sexes","Euro","704.84"
"Mean Weekly Earnings","2011","Wicklow","Male","Euro","842.3"
"Mean Weekly Earnings","2011","Wicklow","Female","Euro","580.18"
"Mean Weekly Earnings","2011","Clare","Both sexes","Euro","655.65"
"Mean Weekly Earnings","2011","Clare","Male","Euro","770.6"
"Mean Weekly Earnings","2011","Clare","Female","Euro","556.39"
"Mean Weekly Earnings","2011","Cork","Both sexes","Euro","670.4"
"Mean Weekly Earnings","2011","Cork","Male","Euro","785.31"
"Mean Weekly Earnings","2011","Cork","Female","Euro","563.03"
"Mean Weekly Earnings","2011","Kerry","Both sexes","Euro","580.43"
"Mean Weekly Earnings","2011","Kerry","Male","Euro","658.71"
"Mean Weekly Earnings","2011","Kerry","Female","Euro","514.34"
"Mean Weekly Earnings","2011","Limerick","Both sexes","Euro","660.47"
"Mean Weekly Earnings","2011","Limerick","Male","Euro","761.87"
"Mean Weekly Earnings","2011","Limerick","Female","Euro","564.65"
"Mean Weekly Earnings","2011","Tipperary","Both sexes","Euro","619.67"
"Mean Weekly Earnings","2011","Tipperary","Male","Euro","711.43"
"Mean Weekly Earnings","2011","Tipperary","Female","Euro","539.15"
"Mean Weekly Earnings","2011","Waterford","Both sexes","Euro","628.29"
"Mean Weekly Earnings","2011","Waterford","Male","Euro","730.76"
"Mean Weekly Earnings","2011","Waterford","Female","Euro","536.87"
"Mean Weekly Earnings","2011","Galway","Both sexes","Euro","642.59"
"Mean Weekly Earnings","2011","Galway","Male","Euro","717.03"
"Mean Weekly Earnings","2011","Galway","Female","Euro","579.45"
"Mean Weekly Earnings","2011","Leitrim","Both sexes","Euro","590.86"
"Mean Weekly Earnings","2011","Leitrim","Male","Euro","647.8"
"Mean Weekly Earnings","2011","Leitrim","Female","Euro","546.69"
"Mean Weekly Earnings","2011","Mayo","Both sexes","Euro","584.4"
"Mean Weekly Earnings","2011","Mayo","Male","Euro","650.67"
"Mean Weekly Earnings","2011","Mayo","Female","Euro","529.18"
"Mean Weekly Earnings","2011","Roscommon","Both sexes","Euro","615.77"
"Mean Weekly Earnings","2011","Roscommon","Male","Euro","685.51"
"Mean Weekly Earnings","2011","Roscommon","Female","Euro","556.87"
"Mean Weekly Earnings","2011","Sligo","Both sexes","Euro","622.22"
"Mean Weekly Earnings","2011","Sligo","Male","Euro","688.47"
"Mean Weekly Earnings","2011","Sligo","Female","Euro","568.41"
"Mean Weekly Earnings","2011","Cavan","Both sexes","Euro","590.03"
"Mean Weekly Earnings","2011","Cavan","Male","Euro","660.78"
"Mean Weekly Earnings","2011","Cavan","Female","Euro","528.36"
"Mean Weekly Earnings","2011","Donegal","Both sexes","Euro","530.84"
"Mean Weekly Earnings","2011","Donegal","Male","Euro","582.41"
"Mean Weekly Earnings","2011","Donegal","Female","Euro","487.67"
"Mean Weekly Earnings","2011","Monaghan","Both sexes","Euro","553.45"
"Mean Weekly Earnings","2011","Monaghan","Male","Euro","596.25"
"Mean Weekly Earnings","2011","Monaghan","Female","Euro","514.9"
"Mean Weekly Earnings","2012","All counties (1)","Both sexes","Euro","676.78"
"Mean Weekly Earnings","2012","All counties (1)","Male","Euro","778.42"
"Mean Weekly Earnings","2012","All counties (1)","Female","Euro","583.48"
"Mean Weekly Earnings","2012","Carlow","Both sexes","Euro","588.69"
"Mean Weekly Earnings","2012","Carlow","Male","Euro","654.91"
"Mean Weekly Earnings","2012","Carlow","Female","Euro","525.75"
"Mean Weekly Earnings","2012","Dublin","Both sexes","Euro","757.22"
"Mean Weekly Earnings","2012","Dublin","Male","Euro","871.35"
"Mean Weekly Earnings","2012","Dublin","Female","Euro","647"
"Mean Weekly Earnings","2012","Kildare","Both sexes","Euro","714.52"
"Mean Weekly Earnings","2012","Kildare","Male","Euro","833.12"
"Mean Weekly Earnings","2012","Kildare","Female","Euro","597.55"
"Mean Weekly Earnings","2012","Kilkenny","Both sexes","Euro","636.35"
"Mean Weekly Earnings","2012","Kilkenny","Male","Euro","726.45"
"Mean Weekly Earnings","2012","Kilkenny","Female","Euro","562.12"
"Mean Weekly Earnings","2012","Laois","Both sexes","Euro","637.31"
"Mean Weekly Earnings","2012","Laois","Male","Euro","723.77"
"Mean Weekly Earnings","2012","Laois","Female","Euro","560.6"
"Mean Weekly Earnings","2012","Longford","Both sexes","Euro","582.89"
"Mean Weekly Earnings","2012","Longford","Male","Euro","634.41"
"Mean Weekly Earnings","2012","Longford","Female","Euro","536.24"
"Mean Weekly Earnings","2012","Louth","Both sexes","Euro","634.19"
"Mean Weekly Earnings","2012","Louth","Male","Euro","717.44"
"Mean Weekly Earnings","2012","Louth","Female","Euro","556.58"
"Mean Weekly Earnings","2012","Meath","Both sexes","Euro","698.7"
"Mean Weekly Earnings","2012","Meath","Male","Euro","820.27"
"Mean Weekly Earnings","2012","Meath","Female","Euro","585.74"
"Mean Weekly Earnings","2012","Offaly","Both sexes","Euro","609.04"
"Mean Weekly Earnings","2012","Offaly","Male","Euro","682.55"
"Mean Weekly Earnings","2012","Offaly","Female","Euro","539.91"
