"Statistic","Year","Area of Origin","UNIT","VALUE"
"Producer Capital Goods","1938","All Countries","Euro Thousand","3652"
"Producer Capital Goods","1938","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1938","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1938","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1939","All Countries","Euro Thousand",""
"Producer Capital Goods","1939","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1939","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1939","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1940","All Countries","Euro Thousand",""
"Producer Capital Goods","1940","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1940","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1940","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1941","All Countries","Euro Thousand",""
"Producer Capital Goods","1941","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1941","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1941","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1942","All Countries","Euro Thousand",""
"Producer Capital Goods","1942","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1942","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1942","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1943","All Countries","Euro Thousand",""
"Producer Capital Goods","1943","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1943","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1943","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1944","All Countries","Euro Thousand",""
"Producer Capital Goods","1944","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1944","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1944","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1945","All Countries","Euro Thousand",""
"Producer Capital Goods","1945","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1945","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1945","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1946","All Countries","Euro Thousand",""
"Producer Capital Goods","1946","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1946","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1946","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1947","All Countries","Euro Thousand",""
"Producer Capital Goods","1947","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1947","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1947","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1948","All Countries","Euro Thousand","18739"
"Producer Capital Goods","1948","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1948","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1948","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1949","All Countries","Euro Thousand","17195"
"Producer Capital Goods","1949","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1949","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1949","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1950","All Countries","Euro Thousand","19544"
"Producer Capital Goods","1950","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1950","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1950","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1951","All Countries","Euro Thousand","20005"
"Producer Capital Goods","1951","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1951","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1951","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1952","All Countries","Euro Thousand","24569"
"Producer Capital Goods","1952","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1952","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1952","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1953","All Countries","Euro Thousand","26592"
"Producer Capital Goods","1953","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1953","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1953","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1954","All Countries","Euro Thousand","26748"
"Producer Capital Goods","1954","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1954","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1954","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1955","All Countries","Euro Thousand","26315"
"Producer Capital Goods","1955","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1955","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1955","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1956","All Countries","Euro Thousand","30128"
"Producer Capital Goods","1956","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1956","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1956","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1957","All Countries","Euro Thousand","25481"
"Producer Capital Goods","1957","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1957","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1957","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1958","All Countries","Euro Thousand","29171"
"Producer Capital Goods","1958","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1958","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1958","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1959","All Countries","Euro Thousand","30903"
"Producer Capital Goods","1959","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1959","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1959","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1960","All Countries","Euro Thousand","32132"
