Statistic,Quarter,Area of Residence,UNIT,VALUE
Births Registered,2008Q1,State,Number,19146
Births Registered,2008Q1,1,Number,2041
Births Registered,2008Q1,2,Number,1351
Births Registered,2008Q1,3,Number,670
Births Registered,2008Q1,4,Number,1257
Births Registered,2008Q1,5,Number,10935
Births Registered,2008Q1,6,Number,651
Births Registered,2008Q1,7,Number,308
Births Registered,2008Q1,8,Number,1040
Births Registered,2008Q1,9,Number,337
Births Registered,2008Q1,10,Number,392
Births Registered,2008Q1,11,Number,188
Births Registered,2008Q1,12,Number,474
Births Registered,2008Q1,13,Number,961
Births Registered,2008Q1,14,Number,271
Births Registered,2008Q1,15,Number,377
Births Registered,2008Q1,16,Number,617
Births Registered,2008Q1,17,Number,4952
Births Registered,2008Q1,18,Number,273
Births Registered,2008Q1,19,Number,206
Births Registered,2008Q1,20,Number,468
Births Registered,2008Q1,21,Number,368
Births Registered,2008Q1,22,Number,1689
Births Registered,2008Q1,23,Number,534
Births Registered,2008Q1,24,Number,226
Births Registered,2008Q1,25,Number,583
Births Registered,2008Q1,26,Number,306
Births Registered,2008Q1,27,Number,299
Births Registered,2008Q1,28,Number,
Births Registered,2008Q1,29,Number,2139
Births Registered,2008Q1,30,Number,269
Births Registered,2008Q1,31,Number,123
Births Registered,2008Q1,32,Number,506
Births Registered,2008Q1,33,Number,223
Births Registered,2008Q1,34,Number,251
Births Registered,2008Q1,35,Number,767
Births Registered,2008Q1,36,Number,1120
Births Registered,2008Q1,37,Number,296
Births Registered,2008Q1,38,Number,602
Births Registered,2008Q1,39,Number,222
Births Registered,2008Q2,1,Number,1888
Births Registered,2008Q2,2,1384
Births Registered,2008Q2,3,Number,707
Births Registered,2008Q2,4,Number,1125
Births Registered,2008Q2,5,Number,10504
Births Registered,2008Q2,6,Number,606
Births Registered,2008Q2,7,Number,263
Births Registered,2008Q2,8,Number,1009
Births Registered,2008Q2,9,Number,336
Births Registered,2008Q2,10,Number,350
Births Registered,2008Q2,11,Number,180
Births Registered,2008Q2,12,Number,429
Births Registered,2008Q2,13,Number,826
Births Registered,2008Q2,14,Number,359
Births Registered,2008Q2,15,Number,384
Births Registered,2008Q2,16,Number,658
Births Registered,2008Q2,17,Number,5061
Births Registered,2008Q2,18,Number,292
Births Registered,2008Q2,19,Number,214
Births Registered,2008Q2,20,Number,452
Births Registered,2008Q2,21,Number,466
Births Registered,2008Q2,22,Number,1673
Births Registered,2008Q2,23,Number,534
Births Registered,2008Q2,24,Number,229
Births Registered,2008Q2,25,Number,564
Births Registered,2008Q2,26,Number,325
Births Registered,2008Q2,27,Number,312
Births Registered,2008Q2,28,Number,
Births Registered,2008Q2,29,Number,2266
Births Registered,2008Q2,30,Number,271
Births Registered,2008Q2,31,Number,140
Births Registered,2008Q2,32,Number,524
Births Registered,2008Q2,33,Number,242
Births Registered,2008Q2,34,Number,269
Births Registered,2008Q2,35,Number,820
Births Registered,2008Q2,36,Number,1196
Births Registered,2008Q2,37,Number,350
Births Registered,2008Q2,38,Number,605
Births Registered,2008Q2,39,Number,241
Births Registered,2008Q3,1,Number,2037
Births Registered,2008Q3,2,Number,737
Births Registered,2008Q3,3,Number,1426
Births Registered,2008Q3,4,Number,1254
Births Registered,2008Q3,5,Number,11317
Births Registered,2008Q3,6,Number,661
Births Registered,2008Q3,7,Number,275
